 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"an ominous silence","Sawano Hiroyuki",63,6A,30,2021-03-18,02:17,0,"anime, soundtrack","Pop, Classical, Easy Listening","映画「彼岸島」オリジナル・サウンドトラック",2010-01-06,6,88,47,4,0,0,-19,G minor,3,5llmSX7FCBr5Nx5bzYoh7m,"EMI MUSIC JAPAN INC.",JPTO00902782,no
2,"Albert Hall Interview (1969)","Janis Joplin",114,1A,34,2021-06-15,01:18,7,"classic rock, acid rock, psychedelic rock","Rock","Janis",1974-10-18,69,93,0,86,50,30,-17,G#/A♭ minor,4,4NtrRbv1XOYk1kscxPhALK,"Columbia/Legacy",USSM10411869,no
3,"Selfish - Tomorrowland 2013 Aftermovie Remix","Dimitri Vegas & Like Mike, Era Istrefi, Dimitri Vegas",126,12A,96,2022-02-07,03:44,25,"big room, electronica, edm, albanian hip hop, albanian pop, kosovan pop","Hip Hop, Pop, Electronic","Tomorrowland 2019 EP",2019-08-30,58,27,71,11,0,10,-5,C♯/D♭ minor,4,1ahuShy8UD37C21q2meohL,"Epic Amsterdam",BEG851900077,no
4,"Shingeki Pf 20130218 Kyojin","Sawano Hiroyuki",67,4B,34,2022-12-23,04:41,32,"anime, soundtrack","Pop, Classical, Easy Listening","TV Anime  Attack on Titan Season 2  (Original Soundtrack)",2017-06-07,30,45,89,7,0,10,-18,G#/A♭,4,1vkTUQmDIG8uaEuMTlKYr6,"PONY CANYON",JPPC01301491,no
5,"The Pajama Game","Doris Day, John Raitt",134,10B,43,2023-07-11,40:27,3,"adult standards, big band, musicals","Easy Listening, Jazz, Classical, Pop","Sings Songs From The Warner Brothers Pictures Calamity Jane & The Pajama Game",1957-01-01,53,72,0,42,20,0,-10,D,4,6d1Abd5RRLXFI5YPppKkeJ,"Columbia",USSM10903440,no
6,"Came Up (feat. Post Malone & Key!)","Flosstradamus, FKi 1st, graves, Post Malone, KEY!",77,2B,88,2023-12-19,03:34,47,"edm trap, dubstep, atl trap, future bass, dfw rap, melodic rap, pop, rap, underground hip hop","Hip Hop, Electronic, Pop","Came Up (feat. Post Malone & Key!)",2016-07-29,61,1,0,50,0,10,-5,F#/G♭,4,6GAhe3wXCDJP1RK5lZLyjX,"Ultra Records, LLC",USUS11600316,yes
