 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"Your Song","Elton John",128,5B,32,2020-08-20,04:01,81,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,55,83,0,32,0,10,-11,D#/E♭,4,38zsOOcu31XbbYj9BIPUF1,"UMC (Universal Music Catalogue)",GBAMB9500072,no
2,"When I Was Your Man","Bruno Mars",73,8B,28,2021-09-19,03:33,90,"dance pop, pop","Electronic, Pop","Unorthodox Jukebox",2012-12-07,61,93,0,39,0,0,-9,C,4,0nJW01T7XtvILxQgC5J7Wh,"Atlantic Records",USAT21206701,no
