#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
26,"「私はあいつが―羨ましかったんだ」","物語シリーズ",81,10B,16,2021-03-30,03:13,12,"anime, j-pop","Hanamonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,49,100,93,30,0,0,-17,D Major,4,6H3AsaBvgAyxOjbMGztxLH,JPE301401035
27,"Ore最叫!?","Sawano Hiroyuki",134,9B,98,2021-04-05,02:06,3,"anime, soundtrack","「戦国BASARA弐」音楽絵巻 弐 ～乱世、再び！～",2010-09-01,62,0,83,52,0,0,-5,G Major,4,4OZVUVK90f4z30Pw9u7Yrz,JPG751000521
28,"Thumbs","Sabrina Carpenter",135,4B,72,2021-04-21,03:36,72,"pop","EVOLution",2016-10-14,73,3,0,13,0,0,-3,G#/A♭ Major,4,6WC5fhc9XMaCrUNKNjm9xE,USHR11637546
29,"sugar sweet nightmare","物語シリーズ",166,11B,90,2021-06-15,04:31,29,"anime, j-pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,48,9,0,65,0,10,-3,A Major,4,5T0BXmeILaHo8vIprV89C7,JPE301000041
30,"素敵滅法","物語シリーズ",88,8A,25,2021-06-16,02:37,47,"anime, j-pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,55,99,93,65,0,10,-13,A Minor,4,5ASxwnS9Y1EwxBsA9qmOV8,JPE301001702
31,"「ただいまっ、帰りましたっ」","物語シリーズ",168,5B,26,2021-06-22,01:32,16,"anime, j-pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,62,97,93,17,10,10,-12,D#/E♭ Major,4,06iu2YkPGBhObRRQH1zpvJ,JPE301103691
32,"Almost Love","Sabrina Carpenter",105,8A,76,2021-07-08,03:32,52,"pop","Singular Act I",2018-11-09,81,11,0,62,0,0,-3,A Minor,4,1yXFAwSMDZmX2ZyDLLyQ9s,USHR11838467
33,"Paris","Sabrina Carpenter",115,7A,67,2021-07-08,03:38,59,"pop","Singular Act I",2018-11-09,58,5,0,23,0,10,-6,D Minor,4,359HNzfOXhCMHB1pNKhyfH,USHR11838863
34,"Sue Me","Sabrina Carpenter",157,2B,81,2021-07-08,02:59,66,"pop","Singular Act I",2018-11-09,46,4,0,61,30,10,-5,F#/G♭ Major,4,3WVhkjB7Y4xFruqoCAajBb,USHR11838862
35,"asphyxia - From THE FIRST TAKE","Cö shu Nie",101,2B,9,2021-07-11,04:40,30,"anime, j-rock, j-pop","asphyxia - From THE FIRST TAKE",2020-07-24,47,96,0,28,0,20,-15,F#/G♭ Major,3,4CgqwCDDvpsAO6DJgfRUh2,JPU902001612
36,"木枯らしセンティメント","物語シリーズ",131,2B,97,2021-08-03,04:37,34,"anime, j-pop","Koimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,61,12,0,70,0,30,-5,F#/G♭ Major,4,1jd2jYSUu3reC3rR6EAwYB,JPE301400628
37,"「ありがとうございます。助かりました」","物語シリーズ",170,7A,14,2021-08-04,02:11,23,"anime, j-pop","Koimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,45,99,91,19,0,10,-20,D Minor,4,4nFjsWG2BtnSbTKl7Oyw29,JPE301400446
38,"恋","物語シリーズ",152,10B,15,2021-08-13,03:05,19,"anime, j-pop","Nekomonogatari (Kuro) Gekihanongakushu [Original Soundtrack]",2018-11-02,47,99,34,12,0,10,-13,D Major,4,47IDv2F0rcTzyazLaoBSo7,JPE301300103
39,"Together","The Troggs",120,9B,66,2021-08-14,04:02,11,"proto-punk","Athens Andover",1992-00-00,69,31,0,88,0,0,-10,G Major,4,6l7N4O2opdejNgkeQOCP78,DESK99290002
40,"Why","Sabrina Carpenter",90,10A,56,2021-08-17,02:51,57,"pop","Why",2017-07-07,63,17,0,62,20,0,-5,B Minor,4,1byScELwcJffsdL5QWa6Yk,USHR11738092
41,"Grenade","Bruno Mars",110,7A,56,2021-08-24,03:42,82,"","Doo-Wops & Hooligans",2010-05-11,70,15,0,25,0,10,-7,D Minor,4,4lLtanYk6tkMvooU0tWzG8,USAT21001883
42,"Marry You","Bruno Mars",145,6B,82,2021-08-26,03:50,81,"","Doo-Wops & Hooligans",2010-05-11,62,33,0,45,0,10,-5,A#/B♭ Major,4,6SKwQghsR8AISlxhcwyA9R,USAT21001887
43,"marshmallow justice","物語シリーズ",88,11B,93,2021-09-08,04:15,27,"anime, j-pop","Nisemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,57,0,0,71,0,30,-3,A Major,4,7IiKtKFZibFW5Wj35cHPEb,JPE301200701
44,"白金ディスコ","物語シリーズ",117,1B,93,2021-09-09,04:16,34,"anime, j-pop","Nisemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,74,5,0,86,0,30,-3,B Major,4,71Mjox4H55HJlv0BJj2hhX,JPE301201661
45,"偽物","物語シリーズ",168,12B,35,2021-09-17,01:59,23,"anime, j-pop","Nisemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,87,82,90,82,0,0,-11,E Major,4,531T3SdzPkFGSRyva3EJhQ,JPE301201665
46,"terminal terminal","物語シリーズ",204,10A,84,2021-10-07,04:28,27,"anime, j-pop","Owarimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,54,7,0,89,0,10,-3,B Minor,4,4QyIqJkLit0Oj4WFOE8DoE,JPE301701061
47,"dreamy date drive","物語シリーズ",121,1A,70,2021-10-07,04:42,27,"anime, j-pop","Owarimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,62,49,0,45,0,0,-6,G#/A♭ Minor,4,4WXFKsEilT0EkYm6iGsdcp,JPE301701200
