 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"Candle In The Wind - Remastered 2014","Elton John",125,12B,54,2020-08-27,03:48,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,60,18,0,51,0,0,-10,E,4,5khtjkzX0pzH1cjDgM6K6H,"UMC (Universal Music Catalogue)",GBUM71304954,no
2,"Don't Go Breaking My Heart","Elton John, Kiki Dee",131,7B,84,2020-09-11,04:35,84,"glam rock, mellow gold, piano rock, rock, classic uk pop","Rock","Rock Of The Westies",1975-10-24,73,15,0,78,0,0,-9,F,4,7HW5WIw7ZgZORCzUxv5gW5,"EMI",GBALX7600007,no
3,"I'm Still Standing","Elton John",177,2B,90,2020-09-19,03:03,88,"glam rock, mellow gold, piano rock, rock","Rock","Too Low For Zero",1983-05-30,51,36,12,77,10,10,-7,F#/G♭,4,1jDJFeK9x3OZboIAHsY9k2,"EMI",GBALX8300190,no
4,"I Guess That's Why They Call It The Blues","Elton John",121,8B,66,2020-09-19,04:45,73,"glam rock, mellow gold, piano rock, rock","Rock","Too Low For Zero",1983-05-30,67,22,2,67,0,10,-7,C,3,23l1kVpqMVREiwU1YAlcr4,"EMI",GBALX8300088,no
5,"Lamp","Cö shu Nie",180,12A,93,2021-03-21,02:54,43,"anime, j-rock, j-pop","Pop, Rock","PURE",2019-12-11,30,16,0,52,0,10,-4,C♯/D♭ minor,4,732MYWbvyL6ss5rwl5g0dy,"Sony Music Labels Inc.",JPU901900241,no
6,"It's Time","Imagine Dragons",105,10B,88,2021-03-23,04:00,77,"modern rock, pop, rock","Rock, Pop","Night Visions",2012-09-04,66,2,0,86,0,10,-5,D,4,7MXlTgQeo3IVlMpLnZuhxc,"Kid Ina Korner / Interscope",USUM71200987,no
7,"the last day of my adolescence","物語シリーズ",177,9B,93,2021-03-27,04:23,31,"anime, j-pop","Pop","Hanamonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,32,3,0,42,10,30,-4,G,4,4ukEWFubsy87f0iib6ED1L,"Aniplex Inc.",JPE301400825,no
8,"花痕 -shirushi-","河野 マリナ",165,11B,98,2021-03-30,04:32,22,"anime","Pop","Hanamonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,52,7,0,72,10,30,-3,A,4,4Cn8IU1PGb2IMp0p6XQjkC,"Aniplex Inc.",JPE301401037,no
9,"staple stable","物語シリーズ",129,12B,89,2021-06-15,04:35,35,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,61,4,0,60,0,30,-4,E,4,7AhiAL6fOhqIabtgZ8gF5L,"Aniplex Inc.",JPE300901741,no
10,"恋愛サーキュレーション","物語シリーズ",120,12A,77,2021-06-15,04:15,44,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,81,6,0,94,0,10,-6,C♯/D♭ minor,4,6luI5Go8acCnPJvx7A8BkF,"Aniplex Inc.",JPE300902581,no
