 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
11,"「戦場ヶ原、蕩れ」","物語シリーズ",83,12B,23,2021-06-20,02:10,31,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,59,99,95,35,0,10,-15,E,4,3Q3imRo9qj57EBpfRkMCFD,"Aniplex Inc.",JPE301103670,no
12,"君の知らない物語","supercell",165,11B,91,2021-06-20,05:42,37,"anime, j-pop, j-rock","Pop, Rock","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,42,1,0,53,0,0,-3,A,4,3CGqsCOSf5WFzQJzaePyZc,"Aniplex Inc.",JPSR00901782,no
13,"give it back","Cö shu Nie",100,3B,59,2021-07-13,03:32,59,"anime, j-rock, j-pop","Pop, Rock","give it back",2021-01-22,46,46,0,35,0,0,-6,C♯/D♭,4,6aHFdm58mPF4YPJX3FgI0z,"Sony Music Labels Inc.",JPU902003338,no
14,"Natural","Imagine Dragons",100,10B,61,2021-08-09,03:09,83,"modern rock, pop, rock","Rock, Pop","Origins (Deluxe)",2018-11-09,70,22,0,22,0,0,-6,D,4,2FY7b99s15jUprqC0M5NCT,"Kid Ina Korner / Interscope",USUM71806694,no
15,"Talking to the Moon","Bruno Mars",146,12A,59,2021-08-26,03:37,80,"dance pop, pop","Electronic, Pop","Doo-Wops & Hooligans",2010-05-11,50,51,0,8,0,10,-5,C♯/D♭ minor,4,1wVuPmvt6AWvTL5W2GJnzZ,"Elektra (NEK)",USAT21001985,no
16,"もうそう☆えくすぷれす","物語シリーズ",101,9B,88,2021-09-28,04:23,47,"anime, j-pop","Pop","Otorimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,61,15,0,79,0,0,-5,G,4,0AMPzoNXlZxOQfcnajreKx,"Aniplex Inc.",JPE301400020,no
17,"ヒカリアレ","BURNOUT SYNDROMES",178,9B,94,2021-11-15,04:04,63,"anime, j-rock, j-pop","Pop, Rock","檸檬",2016-11-09,31,1,0,35,10,30,-2,G,4,5WLaJoYalaASb9JB7Yk5U6,"Sony Music Labels Inc.",JPU901602724,no
18,"When You're Gone","Avril Lavigne",142,9A,72,2022-07-20,04:00,73,"canadian pop, candy pop, dance pop, pop","Pop, Electronic","The Best Damn Thing (Expanded Edition)",2007-04-17,46,19,0,17,0,20,-4,E minor,4,54JKnDB3CzVu8wNAOM27BI,"RCA Records Label",USRC10700004,no
19,"Wish You Were Here","Avril Lavigne",166,12B,87,2022-08-17,03:45,71,"canadian pop, candy pop, dance pop, pop","Pop, Electronic","Goodbye Lullaby (Expanded Edition)",2011-03-08,45,3,0,34,0,10,-4,E,4,5XHf9PBxxHmJFuiDkGNIOA,"Epic",USRC11100010,yes
20,"Barricades","Sawano Hiroyuki",105,9B,94,2022-12-19,03:41,61,"anime, soundtrack","Pop, Classical, Easy Listening","TV Anime  Attack on Titan Season 2  (Original Soundtrack)",2017-06-07,62,7,0,56,0,10,-5,G,4,6iaQi9uPzHoXLMo5g490Bj,"PONY CANYON",JPPC01700987,no
21,"Alta Suciedad","Árbol",110,11B,84,2024-03-01,02:38,29,"argentine rock","Rock","Calamaro Querido!! Cantando Al Salmón Parte 1",2006-06-13,81,6,0,93,0,10,-3,A,4,1b2guP17pLoblajMLfDR0T,"Ariola",ARFSB0600189,no
