 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"Real World","Matchbox Twenty",118,6B,76,2020-08-19,03:51,70,"post-grunge","Rock","Yourself or Someone Like You",1996-10-01,50,1,0,88,0,0,-5,A#/B♭,4,70fe354BpVKEvMY0de78YO,"Lava/Atlantic",USAT29600001,no
2,"Back 2 Good","Matchbox Twenty",89,9B,50,2020-08-19,05:40,64,"post-grunge","Rock","Yourself or Someone Like You",1996-10-01,56,11,0,48,0,10,-9,G,4,64XSAtXpCJUmadm3fkpH4z,"Lava/Atlantic",USAT29600033,no
3,"If You're Gone","Matchbox Twenty",110,11B,64,2020-08-19,04:34,33,"post-grunge","Rock","Mad Season (Deluxe Edition)",2000-05-23,56,49,0,38,0,10,-7,A,4,03HHbQ9WMoyBmoce6LRIPd,"Atlantic Records",USAT22003208,no
4,"Stop","Matchbox Twenty",108,10B,94,2020-08-19,03:49,33,"post-grunge","Rock","Mad Season",2000-05-23,53,4,0,39,0,0,-5,D,4,0pYPLapoEWPkcBPXOcfkFW,"Atlantic Records",USAT20001332,no
5,"Modern Love - Live","Matchbox Twenty",92,1B,96,2020-08-20,03:51,24,"post-grunge","Rock","How Far We've Come",2007-09-15,35,2,0,53,10,30,-4,B,4,4VqQom3FbQjLBkZ6hqlfqG,"Atlantic Records",USAT20704693,no
6,"I Need You To Turn To","Elton John",125,10B,28,2020-08-20,02:30,34,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,39,84,0,32,0,10,-12,D,3,7phTxbdPX8sLRehWtLPxHl,"UMC (Universal Music Catalogue)",GBAMB9500073,no
7,"Take Me To The Pilot","Elton John",85,7B,56,2020-08-20,03:44,39,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,43,42,0,63,0,20,-8,F,4,5ikzxNue9a4uAQmSmTXZSi,"UMC (Universal Music Catalogue)",GBAMB9500074,no
8,"The King Must Die","Elton John",139,8A,39,2020-08-20,05:07,27,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,44,42,0,25,0,20,-10,A minor,4,5aZWzadLEprtlv0ylYyruD,"UMC (Universal Music Catalogue)",GBAMB9500081,no
9,"Rock And Roll Madonna","Elton John",141,8B,81,2020-08-21,04:16,21,"glam rock, mellow gold, piano rock, rock","Rock","Elton John",1970-04-10,52,4,0,80,0,80,-9,C,4,0oZoS7BfThQ4W9Ei7ZRXHX,"UMC (Universal Music Catalogue)",GBUM70711445,no
10,"Amoreena","Elton John",129,8B,61,2020-08-21,05:00,30,"glam rock, mellow gold, piano rock, rock","Rock","Tumbleweed Connection",1970-10-30,56,76,0,51,0,20,-10,C,4,2HhQqv3RRx6FwLZZpswNQ7,"UMC (Universal Music Catalogue)",GBAMB9500022,no
11,"Honky Tonk Women","Elton John",141,7B,92,2020-08-22,04:07,28,"glam rock, mellow gold, piano rock, rock","Rock","17-11-70",1971-03-12,44,51,0,72,10,90,-7,F,4,0v35NYiR3B6pyUAHjKqHEo,"EMI",GBAMB9500085,no
12,"Goodbye","Elton John",128,6B,12,2020-08-23,01:48,33,"glam rock, mellow gold, piano rock, rock","Rock","Madman Across The Water",1971-11-05,36,95,0,24,0,10,-18,A#/B♭,4,0ssRYFyBn0lP4NzSErONW4,"EMI",GBAMB7100090,no
13,"Honky Cat","Elton John",171,10B,78,2020-08-23,05:13,60,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,48,33,0,95,0,10,-6,D,4,1plcM0XlbKdjND7Ufokuzb,"EMI",GBAMB7200002,no
14,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",137,6B,53,2020-08-23,04:41,86,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,60,43,0,34,0,0,-9,A#/B♭,4,3gdewACMIVMEWVbyb8O9sY,"EMI",GBAMB7200006,no
15,"Hercules","Elton John",148,8B,78,2020-08-23,05:20,38,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,56,8,0,73,0,0,-7,C,4,42pqNrGr0TZz5bzdCXt4sw,"EMI",GBAMB7200011,no
16,"Slave - Alternate  Fast  Version","Elton John",91,9B,93,2020-08-23,02:53,32,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,55,2,0,81,0,0,-6,G,4,4LqaFJOawdPH1JliPDdssk,"EMI",GBAMB7200012,no
17,"Midnight Creeper","Elton John",136,12B,86,2020-08-24,03:52,31,"glam rock, mellow gold, piano rock, rock","Rock","Don't Shoot Me I'm Only The Piano Player",1973-01-22,67,5,0,85,0,10,-6,E,4,5lnkNO3Si97dpuKQY8z5OT,"EMI",GBAMB9500005,no
18,"Have Mercy On The Criminal","Elton John",116,5A,52,2020-08-25,05:57,36,"glam rock, mellow gold, piano rock, rock","Rock","Don't Shoot Me I'm Only The Piano Player",1973-01-22,47,13,0,52,0,10,-8,C minor,3,1PHBBJNH4WFuDBlAuVKWMA,"EMI",GBAMB9500006,no
19,"Funeral For A Friend / Love Lies Bleeding - Remastered 2014","Elton John",139,8A,76,2020-08-27,11:06,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,40,2,17,20,0,20,-9,A minor,4,3JNgpaqUdpozbCnbPOMqPQ,"UMC (Universal Music Catalogue)",GBUM71304953,no
20,"I've Seen That Movie Too - Remastered 2014","Elton John",114,4A,46,2020-08-31,05:57,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,51,32,0,30,0,10,-9,F minor,4,5yCo1LqUaYkSq28509G2Be,"UMC (Universal Music Catalogue)",GBUM71304960,no
21,"Your Sister Can't Twist (But She Can Rock'n' Roll) - Remastered 2014","Elton John",95,12B,97,2020-09-06,02:41,0,"glam rock, mellow gold, piano rock, rock","Rock","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)",1973-10-05,46,1,0,91,0,80,-7,E,4,2j27XNwrhqDmUdmduYtp21,"UMC (Universal Music Catalogue)",GBUM71304965,no
22,"Pinky - Remastered 1995","Elton John",133,11B,53,2020-09-07,03:54,36,"glam rock, mellow gold, piano rock, rock","Rock","Caribou (Remastered 1995)",1974-06-28,66,15,0,51,0,0,-11,A,4,6IPDeuzjnlKUfxDwJUHrzD,"EMI",GBAMB9500041,no
23,"You're So Static - Remastered 1995","Elton John",137,8B,81,2020-09-07,04:53,29,"glam rock, mellow gold, piano rock, rock","Rock","Caribou (Remastered 1995)",1974-06-28,61,3,0,79,0,10,-7,C,4,58OD5vBX95OdelGNOvpvEw,"EMI",GBAMB9500044,no
24,"Stinker - Remastered 1995","Elton John",84,9B,59,2020-09-07,05:20,27,"glam rock, mellow gold, piano rock, rock","Rock","Caribou (Remastered 1995)",1974-06-28,45,9,19,93,0,0,-8,G,4,5NyYHYlGtTboKi5VoRMEtv,"EMI",GBAMB9500046,no
25,"Don't Let The Sun Go Down On Me - Remastered 1995","Elton John",141,8B,45,2020-09-07,05:36,65,"glam rock, mellow gold, piano rock, rock","Rock","Caribou (Remastered 1995)",1974-06-28,43,12,0,35,0,0,-9,C,4,11FcfHd3SOmmrWJPGe7Y30,"EMI",GBAMB9500047,no
26,"Cold Highway - Remastered 1995","Elton John",80,7B,59,2020-09-07,03:25,26,"glam rock, mellow gold, piano rock, rock","Rock","Caribou (Remastered 1995)",1974-06-28,43,25,0,80,0,20,-10,F,4,0CY864emS4cZAUYM55R8sW,"EMI",GBAMB9500051,no
27,"Bitter Fingers","Elton John",134,11B,47,2020-09-09,04:33,35,"glam rock, mellow gold, piano rock, rock","Rock","Captain Fantastic And The Brown Dirt Cowboy",1975-05-19,52,8,0,41,0,10,-12,A,4,4Oy2yKrQ0fG7Dc7YtB0Vyg,"EMI",GBAMB7500003,no
28,"Better Off Dead","Elton John",143,3B,48,2020-09-09,02:37,18,"glam rock, mellow gold, piano rock, rock","Rock","Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition)",1975-05-19,65,32,0,71,0,0,-10,C♯/D♭,1,23JuilAzewNOYc2hfvcSQl,"UMC (Universal Music Catalogue)",GBAMB7500007,no
29,"Philadelphia Freedom","Elton John",125,5A,65,2020-09-10,05:21,30,"glam rock, mellow gold, piano rock, rock","Rock","Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition)",1975-05-19,71,7,0,83,0,10,-9,C minor,4,6kLGxJA0QCVDTIbZDbXgL3,"UMC (Universal Music Catalogue)",GBAMB7500013,no
30,"House Of Cards","Elton John",88,9A,65,2020-09-10,03:12,17,"glam rock, mellow gold, piano rock, rock","Rock","Captain Fantastic And The Brown Dirt Cowboy (Deluxe Edition)",1975-05-19,68,20,0,86,0,10,-10,E minor,4,37WuoKbmmHW33QJSfcjIK1,"UMC (Universal Music Catalogue)",GBAMB0080046,no
31,"Dan Dare (Pilot Of The Future)","Elton John",75,8B,62,2020-09-10,03:29,30,"glam rock, mellow gold, piano rock, rock","Rock","Rock Of The Westies",1975-10-24,69,30,0,67,0,0,-10,C,4,1IP1ymL87BtfZqCsJTyp4C,"EMI",GBAMB7500015,no
32,"Street Kids","Elton John",94,9B,93,2020-09-11,06:25,35,"glam rock, mellow gold, piano rock, rock","Rock","Rock Of The Westies",1975-10-24,47,6,0,79,0,20,-8,G,4,20FnYowQOrLxU92iyA94ed,"EMI",GBAMB7500019,no
33,"Billy Bones And The White Bird","Elton John",104,11B,82,2020-09-11,04:25,25,"glam rock, mellow gold, piano rock, rock","Rock","Rock Of The Westies",1975-10-24,60,32,0,44,0,0,-7,A,4,6vhdFKCPjLBcMvfrBEGRu4,"EMI",GBAMB7500022,no
34,"Your Starter For...","Elton John",122,8A,61,2020-09-11,01:23,25,"glam rock, mellow gold, piano rock, rock","Rock","Blue Moves",1976-01-01,64,11,88,64,0,10,-11,A minor,4,4JqUf9QfVz4TCZ0sX50LJ3,"EMI",GBALX7600008,no
35,"Theme From A Non-Existent TV Series","Elton John",109,9B,86,2020-09-13,01:19,20,"glam rock, mellow gold, piano rock, rock","Rock","Blue Moves",1976-01-01,68,5,85,26,0,0,-11,G,4,20MO6EEhXXDqopJFg97J5z,"EMI",GBALX7600024,no
