 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
1,"Don't Go Breaking My Heart","Elton John, RuPaul",134,8B,98,2020-12-29,04:59,39,"glam rock, mellow gold, piano rock, rock, ballroom vogue","","Duets",1993-11-22,66,8,0,79,0,10,-10,C,4,5knatk8Xid2nNvr4D6Tdjg,"EMI",GBALX9300020,no
2,"くらやみ","物語シリーズ",160,4B,15,2021-03-17,01:53,10,"anime, j-pop","Pop","Onimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,35,99,87,31,10,0,-25,G#/A♭,3,2GsXa30QxE9VReWjuYfnpA,"Aniplex Inc.",JPE301400374,no
3,"Welcome to my Land","Sawano Hiroyuki",140,4B,38,2021-03-18,04:04,1,"anime, soundtrack","Pop, Classical, Easy Listening","映画「彼岸島」オリジナル・サウンドトラック",2010-01-06,18,7,85,4,0,0,-15,G#/A♭,4,07BiwK198GMTyEP1895nz5,"EMI MUSIC JAPAN INC.",JPTO00902771,no
4,"Resistant","Sawano Hiroyuki",140,8B,49,2021-03-18,02:10,0,"anime, soundtrack","Pop, Classical, Easy Listening","映画「彼岸島」オリジナル・サウンドトラック",2010-01-06,41,42,95,13,0,10,-14,C,4,1Dc2fVu102T9kSexbEE9jO,"EMI MUSIC JAPAN INC.",JPTO00902780,no
5,"GHOST of ICHI","Sawano Hiroyuki",136,7A,53,2021-04-01,02:50,3,"anime, soundtrack","Pop, Classical, Easy Listening","「戦国BASARA弐」音楽絵巻 弐 ～乱世、再び！～",2010-09-01,39,27,57,12,0,0,-10,D minor,4,2TPzHnzFb9icKVSZK9Gd89,"FlyingDog",JPG751000520,no
6,"i Tone","Sawano Hiroyuki",77,10B,47,2021-04-19,02:24,1,"anime, soundtrack","Pop, Classical, Easy Listening","「戦国BASARA弐」音楽絵巻 弐 ～乱世、再び！～",2010-09-01,22,33,93,24,0,0,-15,D,4,3dt8k8pP8nAkw5Ercx5Zg5,"FlyingDog",JPG751000524,no
7,"道徳塗説","物語シリーズ",77,8B,4,2021-06-15,02:36,33,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,62,95,88,3,10,10,-20,C,3,7FWZovPSQDiYL1VEXjxMNS,"Aniplex Inc.",JPE301103663,no
8,"外法","物語シリーズ",146,3B,25,2021-06-17,01:44,12,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,88,0,71,14,0,0,-16,C♯/D♭,4,7wHBw0z7IJBa4FJfK8NYMw,"Aniplex Inc.",JPE301103667,no
9,"雑多坩堝","物語シリーズ",115,3A,64,2021-06-21,00:18,0,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,35,4,69,0,0,30,-10,A#/B♭ minor,1,33a7VkSNMyy5l728vOX4nE,"Aniplex Inc.",JPE301103681,no
10,"頭痛","物語シリーズ",104,4B,16,2021-07-01,02:40,11,"anime, j-pop","Pop","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,64,92,84,3,0,0,-14,G#/A♭,3,0TqmOK7bJg2OVAZZik4tL0,"Aniplex Inc.",JPE301103704,no
11,"タイムワープ","物語シリーズ",127,6B,17,2021-07-28,03:32,6,"anime, j-pop","Pop","Kabukimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,21,94,96,3,0,0,-17,A#/B♭,4,1oqL69HNVBzdL1hnEDw3aL,"Aniplex Inc.",JPE301303010,no
12,"襲来","物語シリーズ",88,9B,19,2021-07-28,03:10,6,"anime, j-pop","Pop","Kabukimonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,16,61,86,4,0,10,-17,G,4,2cnrQS1Ph3iAZy3DossWo1,"Aniplex Inc.",JPE301303017,no
13,"交響$weet 4th-Mov.：f","Sawano Hiroyuki",120,10B,9,2021-07-31,03:36,19,"anime, soundtrack","Pop, Classical, Easy Listening","青の祓魔師 Plugless",2011-00-00,43,96,92,6,0,0,-20,D,3,05t2aHunX9PQ0jHfiUsh6o,"Aniplex Inc.",JPE301102636,no
14,"First Love - SAVI Remix","Lost Kings, Sabrina Carpenter, SAVI",96,7B,79,2021-08-19,03:25,23,"pop dance, pop edm, pop, future bass","Electronic, Pop","First Love (Remixes)",2017-12-01,60,2,0,41,0,30,-2,F,4,1TMmQ5JK4EewfiIAISLpzl,"Disruptor Records/RCA Records",USRC11703363,no
15,"On My Way - Da Tweekaz Remix","Alan Walker, Sabrina Carpenter, Farruko, Da Tweekaz",150,12A,85,2021-08-20,03:24,54,"electro house, pop, reggaeton, trap latino, hardstyle, frenchcore, happy hardcore, hardcore","Pop","On My Way (Da Tweekaz Remix)",2019-06-25,48,9,0,48,0,0,-4,C♯/D♭ minor,4,4Sp0jLZN8MgPnoGDufJS7N,"Kreatell Music",NOG841901070,no
16,"HATRED","Sawano Hiroyuki",136,8B,48,2021-08-30,02:33,2,"anime, soundtrack","Pop, Classical, Easy Listening","連続ドラマW「マークスの山」オリジナルサウンドトラック",2011-01-05,40,21,34,6,0,10,-16,C,4,6a8EH4IBsYNuWFONh9uL1Q,"Legendoor",JPZ921011320,no
